Do you wear spectacles?,Do you think you are smart?,What is your height? (In cm),What is your weight? (In kgs),Do you read books/e-books?,What is your gender?,What footwear do you prefer to wear?,Do you play badminton?,Are you in LDH or UDH,Do you like coca cola?,Do you drink Tang in the mess?,Do you play football?,Do you play cricket?,Do you take notes in all classes?,Did you lie on this survey?
No,No,183,65,Yes,Male,Sandals,Yes,LDH,Yes,No,No,No,No,No
No,Yes,170,62,Yes,Male,Crocs,No,LDH,Yes,Yes,No,No,No,No
Yes,Yes,164,63,No,Female,Slippers,Yes,LDH,Yes,Yes,No,No,Yes,Yes
Yes,Yes,163,64,No,Male,Shoes,No,LDH,Yes,Yes,No,No,No,No
No,No,168,57,No,Male,Slippers,Yes,LDH,No,Yes,No,Yes,No,No
Yes,Yes,170,60,No,Male,Paragon bathroom,Yes,LDH,Yes,No,No,No,No,No
Yes,Yes,183,63,Yes,Male,Shoes,Yes,LDH,Yes,No,No,Yes,Yes,No
Yes,Yes,178,78,Yes,Male,Slippers ,No,UDH,Yes,No,No,No,No,No
Yes,No,170,60,Yes,Male,Sandals,No,LDH,No,Yes,No,No,Yes,No
Yes,Yes,183,90,Yes,Male,Slippers ,Yes,UDH,No,No,No,No,Yes,Yes
Yes,No,180,72,No,Male,Slippers,Yes,LDH,No,Yes,No,Yes,No,No
Yes,No,180,70,Yes,Male,not Heels,No,LDH,No,Yes,No,No,No,No
Yes,Yes,167,57,No,Male,Shoes ,No,LDH,Yes,Yes,Yes,Yes,No,No
No,Yes,178,75,Yes,Male,Slippers,Yes,UDH,Yes,Yes,No,No,No,No
Yes,Yes,173,65,Yes,Male,Sandals,Yes,UDH,Yes,Yes,No,Yes,No,No
Yes,No,157,60,Yes,Female,Sandals,Yes,LDH,Yes,Yes,No,No,Yes,Yes
No,Yes,181,82,No,Male,Sandals,Yes,LDH,Yes,Yes,Yes,Yes,No,Yes
Yes,Yes,179,77,No,Male,Shoes,No,LDH,Yes,Yes,Yes,No,No,No
Yes,Yes,158,59,Yes,Female,Shoes,Yes,LDH,No,Yes,No,No,No,Yes
No,No,185,83,Yes,Male,Shoes,No,UDH,No,Yes,No,No,Yes,No
No,Yes,185,72,No,Male,Slippers,No,UDH,Yes,Yes,Yes,No,No,Yes
Yes,Yes,165,54,Yes,Female,Shoes,Yes,LDH,No,Yes,No,Yes,No,No
Yes,Yes,170,68,Yes,Male,Shoes,No,LDH,Yes,Yes,Yes,No,No,No
Yes,Yes,154,42,Yes,Female,not Shoes,Yes,LDH,No,Yes,No,No,No,No
No,Yes,167,56,No,Male,Shoes,No,LDH,No,No,No,Yes,No,No
No,No,170,100,Yes,Male,Shoes,Yes,UDH,Yes,Yes,No,Yes,No,No
Yes,No,171,69,No,Male,Slippers,No,LDH,No,Yes,No,Yes,No,No
Yes,Yes,159,46,Yes,Female,Sandals,Yes,LDH,Yes,No,No,No,Yes,Yes
No,Yes,180,58,Yes,Male,Slippers,No,LDH,Yes,No,Yes,No,No,No
Yes,Yes,176,79,Yes,Male,Slippers,Yes,LDH,Yes,No,No,Yes,Yes,Yes
No,No,165,62,Yes,Male,Flip Flops,No,LDH,No,No,No,No,Yes,Yes
Yes,Yes,196,95,Yes,Male,Slippers,Yes,LDH,Yes,No,Yes,Yes,No,No
Yes,No,174,76,No,Male,Shoes,Yes,LDH,No,No,No,No,No,Yes
Yes,No,154,74,Yes,Male,Sneakers ,No,LDH,No,Yes,No,Yes,No,Yes
No,Yes,169,57,No,Male,Shoes,No,LDH,Yes,No,No,No,Yes,No
Yes,No,173,75,No,Male,Sandals,No,UDH,Yes,No,No,No,No,No
Yes,No,167,55,No,Male,Slippers,No,LDH,Yes,Yes,Yes,No,No,No
Yes,No,180,70,No,Male,Shoes,Yes,UDH,Yes,No,Yes,Yes,Yes,Yes
Yes,Yes,165,65,Yes,Male,Slippers,Yes,LDH,No,No,Yes,Yes,No,Yes
Yes,Yes,172,73,Yes,Male,Something that would protect my feet 🐾  ,Yes,LDH,No,Yes,No,Yes,No,Yes
No,Yes,170,68,No,Male,Crocs,No,UDH,Yes,No,No,No,No,No
No,No,180,98,Yes,Male,Sandals,Yes,UDH,Yes,Yes,No,Yes,No,No
Yes,No,185,86,Yes,Female,Heels,Yes,LDH,No,Yes,Yes,Yes,Yes,Yes
Yes,Yes,160,70,Yes,Other,Sandals,Yes,UDH,Yes,No,No,Yes,No,No
Yes,Yes,170,60,Yes,Male,Shoes,Yes,UDH,Yes,No,No,No,Yes,No
